player_year,MP_x,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
John Henson/2014-15,18.3,5.7,0.0,0.0,0.396,0.578,3.6,9.1,7.8,1.2,9.3,0.0,2.4,4.6,1.13097560976,6.20731707317,8
Dwight Powell/2016-17,17.3,4.7,0.6,2.0,0.374,0.588,2.5,8.3,6.1,2.4,2.6,0.196,1.9,1.9,1.13256097561,2.90243902439,8
Terry Rozier/2016-17,17.1,2.7,1.6,5.1,0.161,0.466,1.1,6.5,15.2,1.8,0.7,0.436,1.4,0.0,1.13333333333,0.89898989899,7
Bismack Biyombo/2014-15,19.4,2.9,0.0,0.0,0.941,0.578,4.6,11.8,2.0,0.7,6.3,0.0,2.2,2.8,1.13391891892,3.90540540541,8
Randy Foye/2016-17,18.6,1.4,1.9,5.7,0.194,0.506,0.3,4.3,15.2,1.3,0.5,0.625,0.7,-1.0,1.13802631579,1.17105263158,7
Pablo Prigioni/2014-15,17.9,1.0,1.7,5.0,0.18,0.557,0.9,3.6,21.5,3.4,0.1,0.728,1.0,-0.5,1.14828282828,0.89898989899,7
Noah Vonleh/2016-17,17.1,3.5,0.2,0.6,0.348,0.525,3.7,11.0,3.4,1.2,1.7,0.074,1.2,-0.3,1.14847058824,2.65882352941,8
Toney Douglas/2015-16,20.7,2.9,2.3,5.8,0.222,0.543,0.7,4.1,19.1,2.8,0.3,0.456,0.9,-0.9,1.15094117647,0.576470588235,7
Patty Mills/2015-16,20.5,3.0,2.7,6.9,0.095,0.541,0.6,3.4,20.1,1.8,0.3,0.523,2.6,-0.4,1.15341269841,0.547619047619,7
Andrew Harrison/2016-17,20.5,1.8,1.1,3.8,0.539,0.477,0.6,3.3,20.0,1.9,1.3,0.433,1.5,0.0,1.15639534884,1.10465116279,7
Rasual Butler/2014-15,20.1,3.0,2.2,5.6,0.13,0.531,0.6,4.7,6.5,1.0,1.2,0.455,1.6,-0.8,1.15880434783,1.19565217391,15
Manu Ginobili/2016-17,18.7,2.3,2.5,6.3,0.244,0.532,0.8,4.4,20.8,3.2,1.0,0.517,2.4,1.4,1.16033707865,0.865168539326,7
Brian Roberts/2014-15,18.5,3.1,1.7,5.2,0.164,0.495,0.4,3.0,20.3,1.3,0.4,0.427,1.2,-1.7,1.1637804878,0.59756097561,7
Tony Snell/2014-15,19.6,2.2,1.9,5.0,0.148,0.55,0.8,4.5,6.8,1.2,0.6,0.531,1.2,-0.9,1.164,1.10526315789,15
Shelvin Mack/2016-17,21.9,4.0,1.1,3.6,0.202,0.518,0.6,3.8,20.4,1.8,0.2,0.315,1.5,-0.1,1.1665,1.1375,7
Amir Johnson/2016-17,20.1,4.2,0.6,1.5,0.27,0.628,2.6,8.2,13.0,1.6,3.2,0.178,2.1,2.4,1.16887755102,4.37755102041,8
Richard Jefferson/2016-17,20.4,2.0,1.4,4.1,0.315,0.574,0.6,4.5,6.6,0.8,0.5,0.542,0.8,-1.0,1.17292929293,1.77777777778,15
