Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
163,Andray Blatche\blatcan01,2013-14,27,BRK,NBA,73,22.2,.532,7,1618,7.1,15.0,6.8,13.8,0.3,1.2,3.6,4.9,2.7,6.0,8.7,2.5,1.7,0.8,2.4,3.7,18.3,.476,.494,.278,.487,.742
164,Al Jefferson\jeffeal01,2013-14,29,CHA,NBA,73,35.0,.532,73,2553,9.9,19.4,9.8,19.2,0.0,0.2,2.7,3.9,2.2,9.0,11.2,2.2,0.9,1.1,1.7,2.5,22.5,.509,.512,.200,.510,.690
165,DeMar DeRozan\derozde01,2013-14,24,TOR,NBA,79,38.2,.532,79,3017,7.2,16.8,6.4,14.3,0.8,2.5,6.2,7.5,0.6,3.5,4.1,3.7,1.0,0.3,2.1,2.4,21.4,.429,.451,.305,.452,.824
166,Monta Ellis\ellismo01,2013-14,28,DAL,NBA,82,36.9,.532,82,3023,6.9,15.2,6.0,12.7,0.8,2.5,4.0,5.1,0.5,3.1,3.5,5.6,1.7,0.3,3.1,2.3,18.6,.451,.474,.330,.478,.788
167,Joakim Noah\noahjo01,2013-14,28,CHI,NBA,80,35.3,.531,80,2820,4.9,10.2,4.9,10.2,0.0,0.0,3.2,4.3,3.6,7.9,11.5,5.5,1.3,1.5,2.5,3.1,12.9,.475,.476,.000,.475,.737
168,Tony Allen\allento01,2013-14,32,MEM,NBA,55,23.2,.531,28,1278,5.7,11.6,5.4,10.3,0.3,1.3,2.1,3.4,2.2,3.6,5.9,2.6,2.5,0.5,2.5,3.4,13.9,.494,.527,.234,.507,.628
169,Greg Monroe\monrogr01,2013-14,23,DET,NBA,82,32.8,.531,82,2690,6.7,13.6,6.7,13.6,0.0,0.0,3.2,4.9,3.4,6.7,10.2,2.3,1.2,0.6,2.2,2.7,16.7,.497,.497,.000,.497,.657
170,James Anderson\anderja01,2013-14,24,PHI,NBA,80,28.9,.530,62,2309,4.8,11.2,3.0,5.7,1.8,5.5,1.2,1.7,0.9,3.8,4.7,2.3,1.2,0.4,1.7,2.4,12.6,.431,.530,.328,.511,.726
171,Nene Hilario\hilarne01,2013-14,31,WAS,NBA,53,29.4,.530,37,1560,6.9,13.7,6.9,13.6,0.0,0.1,3.6,6.1,1.5,5.3,6.8,3.5,1.5,1.1,2.7,3.8,17.4,.503,.506,.200,.504,.583
172,Gary Neal\nealga01,2013-14,29,TOT,NBA,52,21.4,.530,3,1114,6.2,15.2,4.0,9.4,2.2,5.8,3.0,3.4,0.3,2.6,2.9,2.7,0.6,0.0,2.1,2.1,17.7,.410,.430,.378,.482,.895
