player_year,MP_x,tchs,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Eric Gordon/2014-15,33.1,45.0307692308,2.6,2.5,5.6,0.192,0.544,0.5,2.8,17.6,1.3,0.5,0.45399999999999996,0.7,-2.0,2.25369230769,1.32307692308,1
Kemba Walker/2016-17,34.7,83.5308641975,5.3,3.2,7.9,0.248,0.569,0.6,4.0,29.1,1.6,0.7,0.415,2.2,-1.7,2.2549382716,2.16049382716,2
Rudy Gobert/2016-17,33.9,59.2,5.4,0.0,0.0,0.763,0.682,4.1,13.6,5.7,0.9,6.4,0.002,6.0,4.5,2.259,9.03333333333,8
Ricky Rubio/2016-17,32.9,80.987012987,2.9,0.9,2.9,0.43799999999999994,0.539,1.0,4.4,38.9,2.6,0.3,0.302,1.7,-1.0,2.26025974026,1.66233766234,2
James Harden/2014-15,36.8,76.24242424239999,5.3,2.5,6.7,0.561,0.605,0.9,5.5,34.6,2.6,1.6,0.37799999999999995,4.2,1.0,2.2614141414099995,3.10101010101,2
Isaiah Thomas/2016-17,33.8,82.8571428571,6.1,3.4,9.1,0.441,0.625,0.6,2.9,32.6,1.4,0.4,0.439,1.6,-3.3,2.2648351648400005,1.40659340659,2
LeBron James/2014-15,36.1,82.5638297872,7.3,1.7,4.9,0.413,0.5770000000000001,0.7,6.0,38.6,2.3,1.6,0.265,2.9,1.2,2.26840425532,2.2021276595700003,2
Goran Dragic/2015-16,32.8,77.3186813187,5.4,1.0,3.1,0.18899999999999997,0.537,0.8,4.2,28.7,1.5,0.6,0.23399999999999999,2.3,-0.6,2.27021978022,1.8021978022,2
Jabari Parker/2015-16,31.7,51.4615384615,6.5,0.1,0.5,0.254,0.535,1.8,5.9,8.9,1.5,1.0,0.039,1.2,-1.5,2.27128205128,3.65384615385,1
Russell Westbrook/2016-17,34.6,96.3103448276,8.0,2.6,7.5,0.433,0.5539999999999999,1.8,11.1,57.3,2.3,0.9,0.3,4.6,4.7,2.27896551724,2.2873563218400004,10
Andrew Wiggins/2015-16,35.1,44.9268292683,6.8,0.7,2.4,0.43700000000000006,0.5429999999999999,1.3,3.7,10.1,1.4,1.3,0.147,0.7,-2.5,2.28048780488,2.3536585365900002,1
Victor Oladipo/2015-16,33.0,54.8571428571,4.9,1.5,4.3,0.255,0.534,0.7,5.2,18.6,2.4,1.9,0.29100000000000004,2.7,0.8,2.28415584416,2.49350649351,8
Gordon Hayward/2016-17,34.5,59.670588235299995,5.7,2.1,5.4,0.371,0.595,0.7,5.6,18.2,1.5,0.6,0.324,3.3,0.0,2.29058823529,1.30588235294,8
Chris Paul/2014-15,34.8,94.0212765957,5.4,1.8,4.4,0.27399999999999997,0.596,0.7,4.7,47.4,2.8,0.4,0.298,3.2,0.0,2.2920212766,1.4680851063799998,10
Devin Booker/2016-17,35.0,55.3846153846,6.1,1.9,5.3,0.308,0.531,0.6,3.3,16.3,1.3,0.6,0.28300000000000003,0.6,-2.7,2.29628205128,1.5384615384600002,8
Tobias Harris/2015-16,33.1,54.9268292683,4.8,1.1,3.4,0.273,0.56,1.4,7.3,10.6,1.3,1.3,0.26899999999999996,2.5,0.4,2.29792682927,3.2926829268299995,8
Kyle Korver/2014-15,32.2,38.7849462366,1.1,3.3,6.7,0.19699999999999998,0.6990000000000001,0.2,4.5,12.1,1.1,1.5,0.748,2.4,0.2,2.3001075268799998,3.4731182795699995,11
Avery Bradley/2016-17,33.4,48.465753424700004,4.9,2.1,5.4,0.12,0.5479999999999999,1.3,6.6,10.9,1.8,0.5,0.35700000000000004,2.0,-0.4,2.30136986301,2.5479452054799996,1
Kentavious CaldwellPope/2016-17,33.3,40.324675324699996,3.1,2.2,6.2,0.19899999999999998,0.519,0.8,3.5,11.2,1.8,0.4,0.47100000000000003,2.5,0.0,2.3018181818200003,1.32467532468,11
JJ Redick/2014-15,30.9,37.40625,3.7,3.0,6.8,0.21600000000000003,0.622,0.3,2.5,9.0,0.8,0.3,0.488,0.9,-2.7,2.30364583333,1.84375,11
Gordon Hayward/2014-15,34.4,66.1772151899,5.0,1.7,4.5,0.425,0.5670000000000001,0.7,5.1,21.7,2.2,0.9,0.304,2.9,0.1,2.3072151898700004,1.62025316456,4
Chandler Parsons/2014-15,33.1,54.0869565217,4.1,2.2,5.7,0.233,0.5670000000000001,1.1,5.3,11.4,1.6,0.7,0.419,1.7,-0.2,2.31043478261,2.21739130435,8
Eric Bledsoe/2014-15,34.6,77.8780487805,4.9,1.1,3.5,0.42200000000000004,0.555,0.9,5.4,27.9,2.3,1.2,0.26,2.9,0.9,2.31097560976,2.41463414634,2
Nicolas Batum/2014-15,33.5,58.9012345679,2.1,1.5,4.7,0.163,0.516,0.9,6.3,20.5,1.7,1.2,0.515,3.2,2.6,2.31308641975,2.34567901235,8
Harrison Barnes/2016-17,35.5,48.707317073199995,6.7,1.0,2.9,0.22,0.541,1.2,5.1,7.8,1.2,0.5,0.17300000000000001,2.1,-1.2,2.3147560975599997,2.9756097561000003,1
Klay Thompson/2014-15,31.9,44.69,5.3,3.5,8.0,0.19699999999999998,0.591,0.4,3.6,14.6,1.7,1.8,0.42,3.1,-1.0,2.3249,1.96,1
Giannis Antetokounmpo/2016-17,35.6,80.02272727270001,7.7,0.6,2.3,0.486,0.599,1.8,8.9,26.6,2.3,4.7,0.14300000000000002,4.5,3.5,2.32545454545,4.94318181818,2
Kyle Lowry/2015-16,37.0,85.7722772277,3.8,2.7,6.9,0.41,0.578,0.7,4.6,29.9,2.9,1.0,0.457,3.7,0.6,2.3298019802,2.15841584158,2
Bradley Beal/2016-17,34.9,51.4193548387,5.6,3.0,7.4,0.259,0.604,0.7,3.2,16.2,1.5,0.7,0.418,1.6,-2.4,2.3305376344099997,1.9677419354799999,8
Nicolas Batum/2016-17,34.0,61.0375,3.5,1.9,5.6,0.29100000000000004,0.529,0.6,6.6,27.6,1.6,1.0,0.415,2.8,0.6,2.33125,2.5375,4
Kyle Lowry/2016-17,37.4,78.9855072464,3.7,3.1,7.5,0.39799999999999996,0.623,0.8,4.6,29.9,2.0,0.7,0.51,2.3,-0.4,2.3313043478299997,2.47826086957,2
Monta Ellis/2014-15,33.7,63.2941176471,6.9,1.1,3.8,0.22399999999999998,0.509,0.5,2.5,20.5,2.8,0.8,0.21,2.2,-0.7,2.33164705882,1.70588235294,4
Jordan Clarkson/2015-16,32.3,58.4050632911,5.1,1.6,4.5,0.18600000000000003,0.516,1.3,4.4,13.8,1.7,0.2,0.29100000000000004,0.4,-2.0,2.3336708860799997,1.89873417722,8
DeMar DeRozan/2016-17,35.4,63.4268292683,9.5,0.5,1.7,0.419,0.552,1.0,5.3,20.6,1.5,0.4,0.08,2.4,-1.5,2.33731707317,1.7682926829299999,4
Otto Porter/2016-17,32.6,42.5591397849,3.7,2.0,4.7,0.14800000000000002,0.628,1.6,7.1,6.7,2.2,1.3,0.425,2.9,0.9,2.34387096774,3.2150537634400003,1
